Country,Number of university,Average Score
Argentina,1,45.37
Australia,11,47.9
Austria,5,45.84
Belgium,7,47.82
Brazil,3,46.72
Canada,20,48.39
Chile,2,45.2
China,27,46.23
Czech Republic,1,46.32
Denmark,4,48.92
Finland,6,45.96
France,20,48.65
Germany,40,46.93
Greece,2,45.43
Hong Kong,5,46.35
Hungary,1,44.92
Iceland,1,44.91
India,4,45.15
Ireland,3,46.52
Israel,5,53.85
Italy,25,45.98
Japan,24,50.25
Malaysia,2,44.82
Mexico,1,45.58
Netherlands,12,48.56
New Zealand,2,45.91
Norway,3,47.89
Poland,2,44.93
Portugal,2,46.17
Russia,3,48.63
Singapore,2,51.37
South Africa,4,46.53
South Korea,17,47.64
Spain,15,45.8
Sweden,10,47.86
Switzerland,7,52.1
Taiwan,4,47.9
Thailand,1,45.86
Turkey,1,44.87
United Kingdom,37,50.74
United States of America,158,52.68
