university,date,tution_fee
Harvard University,2011,36305.00
Harvard University,2012,37576.00
Harvard University,2013,38891.00
Harvard University,2014,40418.00
Harvard University,2015,41632.00
Massachusetts Institute of Technology,2011,40337.00
Massachusetts Institute of Technology,2012,41749.00
Massachusetts Institute of Technology,2013,43210.00
Massachusetts Institute of Technology,2014,44720.00
Massachusetts Institute of Technology,2015,46400.00
Stanford University,2011,40438.00
Stanford University,2012,41246.00
Stanford University,2013,42690.00
Stanford University,2014,44184.00
Stanford University,2015,45729.00
University of Cambridge,2011,27520.00
University of Cambridge,2012,28511.00
University of Cambridge,2013,29537.00
University of Cambridge,2014,30609.00
University of Cambridge,2015,31702.00
California Institute of Technology,2011,36557.00
California Institute of Technology,2012,38275.00
California Institute of Technology,2013,39990.00
California Institute of Technology,2014,41790.00
California Institute of Technology,2015,43710.00
Princeton University,2011,37835.00
Princeton University,2012,39537.00
Princeton University,2013,40170.00
Princeton University,2014,41820.00
Princeton University,2015,43450.00
University of Oxford,2011,22593.00
University of Oxford,2012,25601.00
University of Oxford,2013,26017.00
University of Oxford,2014,28317.00
University of Oxford,2015,27020.00
University of Chicago,2011,41945.00
University of Chicago,2012,43581.00
University of Chicago,2013,45324.00
University of Chicago,2014,47139.00
University of Chicago,2015,49026.00
Columbia University,2011,46846.00
Columbia University,2012,50526.00
Columbia University,2013,47442.00
Columbia University,2014,48989.00
Columbia University,2015,50665.00
"University of California, Berkeley",2011,37338.00
"University of California, Berkeley",2012,37397.00
"University of California, Berkeley",2013,37846.00
"University of California, Berkeley",2014,38565.00
"University of California, Berkeley",2015,39298.00
